order_id,product,quantity,release_slot,due_slot,unit_price
1,1,215,28,49,108.0
2,1,186,1,53,65.0
3,2,248,24,33,61.0
4,1,217,33,58,111.0
5,1,194,25,34,105.0
6,1,189,21,33,118.0
7,2,172,22,33,115.0
8,3,184,6,36,96.0
9,3,167,16,60,83.0
10,2,209,33,58,76.0
11,2,180,36,51,106.0
12,2,218,14,41,116.0
13,3,227,5,58,88.0
14,3,167,2,20,110.0
15,3,95,32,42,87.0
16,3,191,35,51,86.0
17,1,189,10,58,95.0
18,2,206,15,23,116.0
19,3,202,22,38,101.0
20,3,195,30,43,83.0
21,2,240,33,47,85.0
22,3,207,20,56,105.0
23,2,213,6,36,103.0
24,3,169,37,43,108.0
25,3,161,27,42,103.0
26,1,175,22,49,60.0
27,3,159,2,28,93.0
28,3,239,35,57,86.0
29,2,224,9,28,80.0
30,3,164,39,47,80.0
31,2,177,4,21,70.0
32,3,184,20,43,103.0
33,1,230,14,40,111.0
34,1,165,36,46,106.0
35,2,248,32,56,101.0
36,3,203,8,57,84.0
